funded_amnt,funded_amnt_inv,term,int_rate,installment,emp_length,home_ownership,annual_inc,verification_status,issue_d,pymnt_plan,purpose,addr_state,dti,delinq_2yrs,earliest_cr_line,inq_last_6mths,open_acc,pub_rec,revol_bal,revol_util,total_acc,initial_list_status,total_pymnt,total_pymnt_inv,total_rec_prncp,total_rec_int,last_pymnt_d,,last_pymnt_amnt,acc_now_delinq,delinq_amnt,pub_rec_bankruptcies,tax_liens,disbursement_method,debt_settlement_flag,lable
22075,22050,2,0.17,551.84,3,1,150000,3,1,1,5,9,7.51,0,37773,1,11,0,7334,0.53,31,1,28887.10007,28854.39,22075,6812.1,41671,114,15660.22,0,0,0,0,1,1,0
35000,35000,1,0.09,1111.37,6,1,125000,3,1,1,4,2,22.71,0,36739,0,8,0,9051,0.35,32,1,40009.00999,40009.01,35000,5009.01,42005,115,1123.85,0,0,0,0,1,1,0
35000,35000,1,0.11,1140.07,2,1,168000,3,1,1,3,13,3.17,1,37591,1,16,0,1099,0.01,22,1,38061.50488,38061.5,35000,3061.5,41548,113,272.59,0,0,0,0,1,1,0
26825,26800,2,0.19,690.56,8,1,85000,3,1,1,3,5,12,0,34700,1,16,0,31071,0.53,50,1,28062.23874,28036.09,26825,1237.24,40969,112,26684.35,0,0,0,0,1,1,0
35000,35000,1,0.09,1111.37,5,5,85000,3,1,1,3,5,17.73,0,37073,0,7,0,16720,0.62,13,1,37305.86111,37305.86,35000,2305.86,41183,112,27308.49,0,0,0,0,1,1,0
23250,23200,2,0.2,619.88,5,5,85000,3,1,1,3,9,20.16,0,37956,0,11,0,31306,0.75,24,1,36105.41996,36027.77,23250,12855.42,42278,115,8847.24,0,0,0,0,1,1,0
23150,21739.74813,2,0.17,578.71,8,1,208000,2,1,1,3,8,7.94,0,34001,0,11,0,3761,0.24,79,1,26016.92242,23136.2,23150,2866.92,41183,112,21393.19,0,0,0,0,1,1,0
27575,26043.43249,2,0.12,619.26,9,1,105000,3,1,1,5,12,16.53,0,33086,0,9,0,15523,0.25,38,1,34446.38201,31720.35,27575,6871.38,41791,114,14468.07,0,0,0,0,1,1,0
35000,32763.0552,2,0.19,916.03,8,5,195000,3,1,1,3,14,11.72,0,35065,2,17,0,29573,0.66,27,1,54528.87764,49014.73,35000,19528.88,42522,116,79.28,0,0,0,0,1,1,0
23250,23225,2,0.2,619.88,3,4,85000,3,1,1,3,4,16.39,0,31017,2,10,0,18515,0.77,40,1,3099.4,3096.09,1169.59,1923.91,41030,112,619.88,0,0,0,0,1,1,1
35000,35000,1,0.09,1111.37,10,1,106000,3,1,1,2,2,12.09,0,33786,0,10,0,51441,0.6,28,1,40009.00999,40009.01,35000,5009.01,41974,114,1120.69,0,0,0,0,1,1,0
21800,21775,2,0.12,489.57,10,5,90000,3,1,1,3,2,26.33,0,36404,0,13,0,35683,0.59,25,1,29374.07332,29340.39,21800,7574.07,42705,117,489.44,0,0,0,0,1,1,0
21275,21250,2,0.12,470.14,8,5,70000,3,1,1,3,9,19.42,0,36434,0,8,0,15777,0.45,25,1,28208.29923,28175.15,21275,6933.3,42705,117,470.04,0,0,0,0,1,1,0
22050,22050,2,0.19,572.36,10,1,140000,3,1,1,13,10,4.29,2,34669,2,14,0,13948,0.75,39,1,34468.50602,34468.51,22050,12361.27,42767,117,69.68,0,0,0,0,1,1,0
21825,21825,2,0.2,581.88,2,1,100000,3,1,1,15,9,24.71,0,35462,0,16,0,10345,0.69,61,1,28481.49429,28481.49,21825,6656.49,41548,113,14523.83,0,0,0,0,1,1,0
35000,35000,1,0.17,1243.85,7,1,100000,3,1,1,3,12,19.03,0,33725,2,7,0,38248,0.75,18,1,44525.8164,44525.82,35000,9525.82,41821,114,7226.73,0,0,0,0,1,1,0
35000,35000,1,0.14,1200.82,1,1,123000,3,1,1,2,8,19.34,0,35309,0,10,0,41034,0.83,34,1,42003.81316,42003.81,35000,7003.81,41579,113,15600.1,0,0,0,0,1,1,0
21350,21325,2,0.21,576.27,10,1,71316,3,1,1,3,9,14.79,1,34335,1,13,0,18651,0.76,23,1,1152.54,1151.2,412.29,738.91,40940,112,576.27,0,0,0,0,1,1,1
22875,22875,2,0.19,593.77,4,1,235000,3,1,1,2,2,14.08,0,33786,0,13,0,42936,0.84,31,1,19075.97,19075.97,6337.11,7318.78,41609,113,31.28,0,0,0,0,1,2,1
35000,34975,2,0.2,925.54,4,1,69000,3,1,1,5,4,9.41,0,38718,2,7,0,22921,0.71,17,1,55544.8867,55505.21,35000,20544.89,42736,117,12.48,0,0,0,0,1,1,0
35000,35000,2,0.21,944.71,5,5,90000,2,1,1,3,2,7.93,0,37347,1,9,0,17017,0.82,19,1,43184.67,43184.67,20871.91,19689.1,42248,115,944.71,0,0,0,0,1,1,1
35000,35000,1,0.09,1111.37,3,1,114054,3,1,1,3,13,16.18,0,33147,0,9,0,28409,0.61,26,1,40009.00999,40009.01,35000,5009.01,41974,114,1122.22,0,0,0,0,1,1,0
35000,33906.1942,2,0.2,933.14,10,1,85000,3,1,1,3,2,12.54,0,36892,2,9,0,29254,0.66,20,1,55138.99996,52433.53,35000,20139,42370,116,10348.28,0,0,0,0,1,1,0
22050,22025,2,0.12,495.19,3,1,66000,3,1,1,3,4,8.96,0,35400,0,12,0,16547,0.43,17,1,29570.1068,29536.58,22050,7520.11,42644,116,244.27,0,0,0,0,1,1,0
22600,22575,2,0.19,586.63,10,1,99224.88,3,1,1,5,9,12.07,0,33420,2,8,0,9782,0.49,25,1,32725.69002,32689.49,22600,10125.69,42217,115,1332.74,0,0,0,0,1,1,0
23350,23350,2,0.12,516,3,1,90000,2,1,1,13,2,8.07,0,38047,0,6,0,5660,0.25,19,1,4835.2,4835.2,2075.61,1533.94,41091,112,516,0,0,0,0,1,1,1
21675,21650,2,0.2,573.18,7,1,165000,3,1,1,11,13,16.33,0,35186,0,9,0,26781,0.26,37,1,5158.62,5152.68,2053.76,3102.7,41153,112,573.18,0,0,0,0,1,1,1
35000,35000,2,0.21,944.71,0,1,174000,3,1,1,5,4,5.32,0,32874,1,10,0,13393,0.27,22,1,56681.8859,56681.89,35000,21681.89,42705,117,944,0,0,0,0,1,1,0
35000,34975,2,0.19,916.03,3,1,70000,3,1,1,3,8,19.17,0,36526,2,13,0,26683,0.67,38,1,37094.11,37067.72,17517.39,16360.38,42005,115,916.03,0,0,0,0,1,1,1
35000,35000,2,0.14,819.3,10,1,100800,3,1,1,13,4,22.5,0,35916,4,15,0,41,0.01,34,1,37424.3433,37424.34,35000,2424.34,41061,112,33330.57,0,0,0,0,1,1,0
35000,35000,2,0.19,901.01,10,1,110000,3,1,1,3,12,16.4,0,33208,1,10,0,11166,0.64,35,1,49163.85017,49163.85,35000,14163.85,41852,114,21242.61,0,0,0,0,1,1,0
35000,35000,1,0.09,1111.37,3,1,84500,3,1,1,3,4,2.47,0,31503,1,8,0,9228,0.15,38,1,39482.77237,39482.77,35000,4482.77,41640,114,12824.94,0,0,0,0,1,1,0
35000,35000,2,0.17,874.93,10,4,68750,3,1,1,10,8,14.77,0,30895,1,14,0,23561,0.55,20,1,41959.649,41959.65,35000,6959.65,41334,113,29718.8,0,0,0,0,1,1,0
35000,34975,2,0.13,790.82,4,5,71000,3,1,1,3,9,17.09,0,30195,0,4,0,28948,0.43,13,1,47448.731,47414.84,35000,12448.73,42705,117,790.35,0,0,0,0,1,1,0
35000,35000,1,0.08,1095.16,0,1,264000,2,1,1,5,4,2.45,0,36069,0,12,0,24864,0.59,39,1,39418.79999,39418.8,35000,4418.8,41944,114,2188.94,0,0,0,0,1,1,0
35000,35000,2,0.22,973.64,10,1,115000,3,1,1,3,2,17.24,0,33025,0,17,0,54340,0.83,38,1,44645.1124,44645.11,35000,9645.11,41365,113,30045.31,0,0,0,0,1,1,0
35000,34975,2,0.12,773.44,7,1,78000,3,1,1,3,14,16.63,0,33420,0,10,0,28856,0.63,37,1,46406.0971,46372.95,35000,11406.1,42705,117,773.14,0,0,0,0,1,1,0
35000,35000,2,0.14,819.3,3,1,160000,3,1,1,3,8,22.06,0,28246,1,17,0,124744,0.52,43,1,46605.80997,46605.81,35000,11605.81,42339,115,4098.71,0,0,0,0,1,1,0
35000,34950,1,0.09,1111.37,2,1,120000,3,1,1,3,10,17.02,0,36312,0,13,0,106406,0.46,46,1,40009.00999,39951.85,35000,5009.01,41974,114,1121.57,0,0,0,0,1,1,0
35000,34975,2,0.12,773.44,10,1,75000,3,1,1,3,1,20.02,0,32874,0,14,0,37503,0.4,33,1,41714.17496,41684.38,35000,6714.17,41579,113,24713.99,0,0,0,0,1,1,0
35000,34960.89318,2,0.16,850.39,10,1,96000,3,1,1,3,2,15.04,0,33635,1,4,0,28782,0.88,19,1,45511.53,45448.83,8325.72,10176.34,41671,114,1284.97,0,0,0,0,1,1,1
35000,34900,2,0.12,786.01,3,5,65000,3,1,1,13,13,10.34,0,35186,0,5,0,17574,0.57,18,1,9432.12,9405.23,5382.07,4045.25,41244,112,786.01,0,0,0,0,1,1,1
35000,34925,2,0.13,790.82,10,5,60000,2,1,1,13,2,1.5,2,35977,0,5,0,955,0.06,27,1,15265.65,15233.18,7784.06,5649.51,41395,113,790.82,0,0,0,0,1,1,1
35000,35000,2,0.14,819.3,0,1,65000,3,1,1,3,8,23.8,0,36739,3,7,0,25631,0.7,32,1,49180.98982,49180.99,35000,14180.99,42705,117,818.99,0,0,0,0,1,1,0
35000,34961.98836,2,0.19,908.5,4,1,60000,3,1,1,2,12,13.06,0,34639,0,7,0,20839,0.85,35,1,10879.13,10839.04,3789.3,5275.4,41183,112,908.5,0,0,0,0,1,1,1
35000,35000,2,0.19,916.03,8,1,220000,3,1,1,13,4,11.41,0,35278,0,16,0,4808,0.24,26,1,36682.2077,36682.21,35000,1682.21,40969,112,34852.54,0,0,0,0,1,1,0
35000,34975,2,0.21,944.71,10,1,100000,3,1,1,3,14,9.31,0,35278,2,16,0,11818,0.4,54,1,52413.13762,52375.7,35000,17413.14,41974,114,19356.95,0,0,0,0,1,1,0
35000,34963.33081,2,0.23,989.29,3,1,220000,2,1,1,5,2,18.36,0,36586,3,8,0,51941,0.93,28,1,11707.94,11664.34,3431.53,6453.97,41183,112,989.29,0,0,0,0,1,1,1
35000,34950,2,0.13,790.82,10,5,102000,3,1,1,3,2,16.58,0,36342,0,8,0,26563,0.89,23,1,47448.731,47380.95,35000,12448.73,42705,117,790.35,0,0,0,0,1,1,0
35000,35000,2,0.13,805.17,10,1,135000,3,1,1,10,11,7.72,0,34943,4,16,0,6976,0.07,34,1,35782.7304,35782.73,35000,782.73,40940,112,34981.66,0,0,0,0,1,1,0
35000,34925,2,0.21,952.39,4,1,85000,3,1,1,3,5,16.56,0,36647,0,15,0,26325,0.9,29,1,32466.07,32396.59,3594.41,5928.29,41183,112,952.39,0,0,0,0,1,1,1
